date,sentence
1980,"Two United States officials who visited Hanoi for talks on missing servicemen learned something about Vietnamese tracing procedures but otherwise made little progress , sources close to the talks said here today ."
1980,"Two United States officials will visit Vietnam this week for talks on the fate of some 2,500 American servicemen missing and believed dead in that country , the State Department said today ."
1981,"After six hours of talks with Hanoi officials , four American veterans of the Vietnam War expressed hope today that the emotional issue of the 2,500 United States servicemen still missing in Southeast Asia could be resolved in the near future ."
1981,"Robert O. Muller , executive director of the Vietnam Veterans of America , the leader of the visiting group , urged the Vietnamese to invite the United States to send personnel to assist in the search for the missing Americans ."
1981,Such a step would ''substantially improve '' Vietnam 's relations with the United States and ease the ''logistical burdens '' that the Vietnamese claim to have in hunting for the remains of the servicemen .
1981,"Most of the 2,500 servicemen missing in Vietnam , Laos and Cambodia are believed dead , although anguished American families believe that some of them remain alive as prisoners of war ."
1981,"Reagan Administration officials believe that the Vietnamese Government has been uncooperative in the search for the missing Americans , although the Hanoi Government insists that there are no American prisoners of war alive in Vietnam , and all remains have been handed over to the American side ."
1981,"Vo Hoang , director of the Vietnamese office in charge of finding missing Americans , said that the ''logistical problems were enormous '' in terms of sending out helicopters and search parties to jungles to hunt for the remains ."
1981,Vietnam announced today that it had found the remains of three United States airmen missing since the Vietnam War .
1981,"Vu Hoang , director of the Vietnamese office in charge of finding missing American servicemen , said the remains of the three airmen would be turned over to American officials as soon as forensic specialists had completed identification ."
1981,Vietnam handed over three wooden coffins today with the remains of three American servicemen missing since the Vietnam War .
1981,Skeletal remains believed to be those of four United States servicemen who died in Laos arrived today from Thailand .
1981,"Coffin with remains of a U.S. serviceman killed in Vietnam arriving at Travis Air Force Base , Calif. , from Hawaii The State Department said yesterday that it had serious questions to ask the Vietnamese Government about the belated return of the bodies of three missing servicemen ."
1981,"Today , more than 14 years after he was listed as missing in action over North Vietnam , Comdr ."
1981,A representative of the National League of Families of American Prisoners and Missing in Southeast Asia today turned over to American officials skull fragments that were said to be the remains of three American airmen missing in action over Laos since the Vietnam War .
1981,The Defense Department said today that remains turned over to the United States authorities in Thailand in July and August were not those of eight American servicemen missing in Laos .
1982,"The United States Deputy Assistant Secretary of Defense , Richard L. Armitage , arrived here today en route to Hanoi on a trip designed to underline American concern over some 2,400 Americans still officially listed by the Pentagon as missing in action in Vietnam , Laos and Cambodia ."
1982,Foreign Minister Nguyen Co Thach of Vietnam said today that the United States was using the issue of missing servicemen as a ''political weapon '' and he threatened not to cooperate in the search for them .
1982,"A Reagan Administration delegation left Hanoi today after a two-day mission that apparently failed to gain Vietnamese cooperation in the search for 2,500 Americans listed by the Pentagon as missing in action in Indochina ."
1982,"Vietnam has agreed for the first time to allow United States technicians to visit and give training in the identification of human remains in the search for Americans missing since the Vietnam War , the State Department said today ."
1982,"Vietnam today turned over to United States officials in Hanoi the remains of five people believed to be missing Americans and material evidence on three other Americans listed as missing in action in the Vietnam War , the Pentagon said ."
1982,A dispatch from Hanoi on May 30 transposed the names of two American servicemen whose identification cards were given to a group of Vietnam veterans by the Vietnamese Government .
1982,"A correction yesterday , referring to a dispatch from Hanoi published on May 30 about missing American serv- icemen , incorrectly gave one name ."
1982,President Reagan 's national security adviser said today that the Administration did not rule out the possibility that some Americans still are being held captive in Southeast Asia nine years after United States troops were pulled out of the Vietnam War .
1982,"''We have no confirmed evidence , but we have enough information not to rule out the possibility that some of our unaccounted-for servicemen could still be held alive in Indochina , '' said William P. Clark ."
1982,"Four Americans looking for relatives missing in the Vietnam War said today that they had found the wreckage , in Laos , of an Air Force C-130 and the remains of its crew , convincing a Florida woman that her husband was dead ."
1982,"Ann Hart , of Pensacola , Fla. , part of the first group of private United States citizens to search for Americans missing in action , said in a telephone interview that she was convinced that her husband , Maj. Thomas T. Hart 2d of the Air Force , could not have survived the crash of the C-130 Hercules shot down Dec. 21 , 1972 ."
1982,"Vietnam will permit searches for 2,500 United States servicemen missing during the war in Indochina if Washington improves ties with Hanoi , four relatives of missing Americans said today ."
1982,Four Americans looking for traces of missing United States servicemen in Laos searched today through a cave used to hold prisoners of war during the Vietnam War .
1982,No sign of missing Americans was found .
1982,"One of the four Americans said the Laotian authorities , believing there is a remote chance some Americans missing for a decade may still be alive , would order searches of rural sites where United States aircraft crashed ."
1982,"The four Americans , all with relatives missing in southeast Asia and all members of the National League of Families , are searching for clues to the fate of some 2,500 Americans listed as missing in action ."
1982,"Ann Griffiths of Annandale , Va. , executive director of the Washington-based organization , said the group was told that two American prisoners died in 1968 in the northern Laotian cave explored today ."
1982,"Relatives of missing American servicemen held a ''very friendly '' two-hour meeting with Laotian officials today on stepped-up efforts to produce a final accounting of some 2,500 missing Americans in Indochina ."
1982,The meeting in the Laotian capital of Vientiane ended a two-week visit to Laos and Vietnam by a four-member delegation from a private Washington-based group searching for information on American soldiers missing in action .
1983,President Reagan today told families of American servicemen still missing in Southeast Asia that United States intelligence agencies were ''fully focused '' on the problem and that the goal of a full accounting was ''the highest national priority . ''
1983,"''The anguish you 've suffered - the families of brave men listed as prisoners of war or as missing in action - is unspeakable , something the rest of us can never really know even in partial measure , '' Mr. Reagan said in an emotional meeting with more than 500 relatives , including wives , children and parents , of the missing Americans ."
1983,"Appearing at a meeting of the National League of Families of American Prisoners and Missing in Southeast Asia , Mr. Reagan stood in front of the bleak black flag of the organization and received a standing ovation when he said : ''Your vigil is over ."
1983,The Reagan Administration has become concerned that privately organized expeditions into Indochina in search of missing United States servicemen may upset delicate talks with Laos and Vietnam on efforts to recover more remains of Americans lost during the Vietnam War .
1983,"At least one armed expeditionary force , headed by a former United States Special Forces officer , entered Laos in recent months in search of Americans rumored still to be alive and held captive ."
1983,"A four-member American military team will arrive in Hanoi on Wednesday for ''technical discussions '' on Americans missing in Vietnam , a Pacific Command spokesman said today ."
1983,"Laos has handed over to a United States team the bodies of some American soldiers who were reported missing in action in the Vietnam War , the Laotian press agency said today ."
1983,"The report , monitored in Bangkok , did not identify any of the servicemen ."
1983,"Vietnam will turn over to the United States on Friday ''a number of remains '' of United States servicemen listed as missing in action during the war in Southeast Asia , a Vietnamese Embassy spokesman said today ."
1984,"The highest-level United States Government delegation to visit Vietnam since the end of the war in that country left Bangkok for Hanoi today to discuss the issue of 2,500 Americans missing in action , a United States Embassy spokesman said ."
1984,"Vietnam has given a ''clear commitment '' to move more rapidly in determining the status of the nearly 2,500 Americans still listed as missing in the Vietnam war , a member of a United States delegation to Hanoi said today ."
1984,"The Vietnamese Government no longer links the missing Americans with other issues between the two countries , said Ann Mills Griffiths , executive director of the National League of Missing In Action-Prisoners of War Families ."
1984,"PENH , Cambodia , July 1 A senior Vietnamese official says continuing United States unfriendliness toward Vietnam after a war that ravaged the civilian population has hurt Hanoi 's efforts to get villagers to cooperate in searching for missing Americans ."
1984,Vietnam turned over bones believed to be those of eight American servicemen today .
1984,President Reagan said today that Laos had agreed to allow United States officials to excavate a site to search for the remains of 13 American servicemen whose plane crashed there nearly 12 years ago .
1985,The United States Government said today that it strongly opposed private raids into Laos in search of Americans still missing from the Indochina war .
1985,"''Such missions are illegal , counterproductive and serve neither the interests of our country nor the families of the missing in action , '' the State Department spokesman , Bernard Kalb , said ."
1985,"A team of United States experts flew to southern Laos today to search for the remains of Americans missing in action from the Vietnam War , a United States Embassy official said ."
1985,He said the team of 11 experts from the Honolulu-based Joint Casualty Resolution Center was to join Laotian officials to search for the remains of 13 American servicemen whose C-130 transport plane was shot down near Pakse City in December 1972 .
1985," Vietnam will turn over to the United States the remains of five people it says are Americans listed as missing in action in the Vietnam War , reliable sources disclosed today ."
1985,United States military officials flew to Hanoi and returned to the Philippines today with what Vietnam identified as the remains of five Americans missing in action since the Vietnam War .
1985,"The United States said today that Hanoi had agreed to the first joint American-Vietnamese search of a B-52 crash site in a move toward settling the issue of 2,446 Americans missing in Southeast Asia since the Vietnam War ."
1985,"The Pentagon announced today that American investigators would excavate a bomber crash site near Hanoi later this month , the first time Vietnam has allowed Americans to participate in the search for remains of missing servicemen since the war ended in 1975 ."
1985,"Pentagon officials and representatives of families of the missing said the agreement was a significant breakthrough in the effort to account for the 2,441 Americans still listed as missing in action in Indochina , most of them in Vietnam ."
1985,American military officials arrived in Hanoi today to discuss the fate of American servicemen listed as missing in action in Vietnam and to excavate the crash site of a B-52 bomber in the first such joint effort of the United States and Vietnam .
1985,Vietnam asked the United States today to send a high-level delegation to Hanoi to finish details of the two-year Vietnamese plan to account for missing Americans .
1985,"The first joint United States-Vietnamese search for Americans missing in the Vietnam War found human remains today at a rural commune where a B-52 bomber crashed 13 years ago , an American spokesman said ."
1985,"IN VIETNAM , A SEARCH FOR MISSING AMERICANS SECTION "
1985,"The United States and Vietnam completed their first joint excavation of an American warplane crash site today , but they said there were only slim hopes of identifying missing American servicemen from the unearthed bone fragments ."
1985,American servicemen standing watch as boxes containing the remains of seven missing Americans were loaded onto a transport plane in Hanoi for the flight to Hawaii .
1985,"An Army laboratory has identified the remains of six American servicemen killed in the Vietnam War , the Pentagon announced today ."
1985,"Vietnam will allow a team of American experts to visit a B-52 crash site in June to examine the feasibility of recovering remains of missing Americans , Foreign Minister Nguyen Co Thach said today ."
1985,Vietnam 's official radio said today that United States hostility ''would only do harm to efforts seeking Americans missing in action '' in the Vietnam War .
1985,The Hanoi radio broadcast said allegations that Vietnam had tortured American captives and forced them to work in labor camps were groundless .
1985,"The United States authorities say 2,441 servicemen and 42 civilians are listed as missing in Indochina ."
1985,Hanoi has repeatedly said that it holds no more American prisoners of war .
1985,President Reagan said Thursday that Vietnam must give the ''fullest possible accounting '' of American missing in action before normalization of United States-Vietnamese relations can be considered .
1985,"The United States and Vietnam appear willing to consider opening an American technical office in Hanoi to hasten the process of accounting for American servicemen missing since the Vietnam War , according to statements from both countries ."
1985,"The Reagan Administration , in a statement issued by the United States Embassy in Bangkok , Thailand , made it clear that such a move would depend on a ''significantly '' higher level of Vietnamese cooperation in the search for missing Americans ."
1985,"Vietnam has offered to hold high-level talks with the United States to resolve questions within two years on Americans missing in action , State Department officials said today ."
1985,"Vietnam has promised to return the remains of 26 more American servicemen who died in the Vietnam War , the largest such turnover since the fighting ended , Americans officials said today ."
1985,Secretary of State George P. Shultz said today that the Reagan Administration was ready to work ''promptly and decisively '' with Vietnam to resolve the issue of missing Americans .
1985,Laos said today that it would send a team of officials to Hawaii to join the United States in preparing for a search for servicemen missing in action from the war in Indochina .
1985,"The United States proposed to Vietnam today that an American delegation go to Hanoi to discuss Vietnam 's recent offer to resolve the missing-in-action issue , a State Department spokesman said ."
1985,The Government today turned over what may be the remains of 26 Americans missing in the Vietnam War .
1985,It also indicated acceptance of a proposed visit by senior United States officials later this month to resolve the entire issue of the missing in action .
1985,A United States delegation scheduled to meet with Vietnamese officials to discuss the fate of missing American servicemen postponed its departure for Hanoi today after learning that Foreign Minister Nguyen Co Thach would not be present for the meetings next week .
1985,"The Vietnamese Government announced in July that it was prepared to resolve within two years the question of Americans missing in action , and wanted to hold high-level talks to discuss it ."
1985,"Nearly 2,500 Americans are listed as missing in the Indochina war , more than half of them in Vietnam ."
1985,"Vietnam offered a two-year plan today to resolve the issue of nearly 1,400 Americans missing in action in the Vietnam War ."
1985,"The head of an American delegation said today that the United States and Vietnam were working on a unified plan to account for nearly 1,400 Americans still missing in the Vietnam War ."
1985,"Vietnamese officials have pledged to resolve the issue of the missing soldiers in ''a very short time , '' said Richard Childress , a member of the National Security Council ."
1985,Leaders of a Vietnam War veterans ' group took issue yesterday with a Pentagon statement that the remains of some American servicemen missing in Southeast Asia had been positively identified .
1985,"At a news conference at the Penta Hotel in New York , J. Thomas Burch Jr. , coordinator of the group , the National Vietnam Veterans Coalition , also presented what he said was evidence that the Reagan Administration had ignored or covered up evidence that many American prisoners of war remained captive ."
1985,A four-member United States military delegation traveled to Hanoi today to discuss the recovery of remains of American servicemen still listed as missing in action in Vietnam .
1985,"There are still 1,369 Americans listed as missing in action in Vietnam and a total of 2,464 in all of Indochina ."
1986,"The United States and Vietnam do not agree about much , but Hanoi has evidently accepted Washington 's insistence that it must cooperate in accounting for the 1,797 Americans listed as missing in the war that ended in 1975 ."
1986,A high-level American delegation arrived in Thailand today on its way to Hanoi for talks on Americans missing in action from the Vietnam War .
1986,Two days of high-level talks between the United States and Vietnam on the issue of Americans missing in action from the Vietnam War ended today with both sides expressing satisfaction with negotiations but calling for quicker progress on unresolved cases .
1986,"While American and Vietnamese officials expressed satisfaction last week with the atmosphere of good will surrounding two days of high-level talks in Hanoi on Americans missing in action since the Vietnam War , both sides agreed that they had reached a time when building confidence and increasing cooperation would be critical ."
1986,"Material progress will have to be made , they said , if the issue of the missing is no longer to prevent better relations between the two countries ."
1986,"Vietnam has agreed to investigate 95 United States reports that some Americans are still being held prisoner in Indochina , senior Administration officials said today ."
1986,"Senator Frank H. Murkowski went to Vietnam to find out about Americans missing in action in the Indochina war , but left today with two Vietnamese children who were separated from their mother seven years ago ."
1986,"Senator Murkowski , Republican of Alaska , led a Congressional delegation to Hanoi to urge the Vietnamese to help resolve the cases of Americans who remain listed as missing in action from the Vietnam War ."
1986,A United States Congressional delegation said today that Laotian officials had rejected an appeal to allow Americans to enter Laos to help investigate possible sightings of American soldiers .
1986,"The four-member delegation reported that although the parting toasts were cordial , the talks had produced little new information on the fate of 556 Americans still listed as missing in action in Laos during the Vietnam War ."
1986,"A group of American members of Congress said today that Vietnamese officials had acknowledged for the first time that missing Americans might be living inside Vietnam , in remote areas not under full Government control ."
1986,They said Deputy Foreign Minister Hoang Bich Son had told them that three Vietnamese teams were investigating reported sightings of Americans and had invited the United States to take part .
1986,"The members of Congress , who came here after two days in the Vietnamese capital , said Vietnamese officials also promised to return the bodies of 14 more Americans missing in action from the Vietnam War and had increased to 70 the number of missing on whom they promised reports ."
1986,"''For the first time , the Vietnamese Government is investigating a large number of live sightings , '' said Representative Gerald B. Solomon , Republican of Upstate New York , who is leading the nine-member House of Representatives task force on missing Americans and prisoners of war in Southeast Asia ."
1986,"A United States military team arrived in Hanoi today to resume talks on American servicemen listed as missing in action in Vietnam and to set a date for the return of 14 sets of American remains , military officials said ."
1986,"Vietnam has handed over reports on 49 cases involving Americans missing in action in the Vietnam War and repeated its promise to repatriate more remains of American servicemen , a United States officer said today ."
1986,"Vietnam has agreed to turn over to the United States , on April 10 in Hanoi , at least 21 sets of remains thought to be those of American servicemen , Administration sources said today ."
1986,"Vietnamese and American officials have also agreed to hold another series of technical talks next month on the search for Americans missing since the Vietnam War , the sources said ."
1986,"For the first time in years , a Defense Department investigation has found that Vietnam may indeed still hold American prisoners of war ."
1986,"Vietnam , without any explanation , has called off talks scheduled for this week on accounting for the nearly 1,800 Americans missing in the Vietnam War , an American official said today ."
1986,"Four United States military specialists went to Hanoi today for technical talks aimed at resolving the status of 1,786 Americans listed as missing in action in the Vietnam War , which ended in 1975 ."
1986," Vietnam said it would soon hand over to the United States authorities what appeared to be the remains of three Americans missing since the Vietnam War , an American official said today ."
1986,"The Vietnamese also said they were investigating 19 new reports about the discovery of other remains , according to Col. Joe Harvey , who had three days of talks in Hanoi on accounting for some 1,790 Americans reported missing in action ."
1986,"Vietnam today handed over what it described as the remains of three Americans missing in action in the Vietnam War , an American officer said ."
1986,The turnover in Hanoi came as Vietnam neared the halfway point of its pledge to resolve the issue of missing servicemen by the end of 1987 .
1986,"American officials , who list 1,784 servicemen missing in Vietnam , say Hanoi must significantly accelerate its efforts to accomplish that goal ."
1986,"The total number of missing , including those lost in Laos and Cambodia , is 2,424 ."
1986,Vietnam today turned over to the United States the bodies of 21 people believed to be missing American servicemen .
1986,"Hanoi , saying it is disappointed that progress in the search for Americans missing since the Vietnam War has not elicited ''cooperation and good will '' from the United States , has suddenly shifted to a much harsher public stance toward Washington ."
1986,ARE there still American prisoners of war in Vietnam ?
1986,"American and Vietnamese officials resumed talks in Hanoi today on the nearly 1,800 American servicemen listed as missing in action in Vietnam , ending a two-month freeze caused by the raids on Libya by the United States ."
1986,"The meetings are the second of six sessions scheduled this year dealing with the identification of United States warplane crash sites , personnel data and operation plans for recovering the remains of American servicemen ."
1986,"Vietnam has turned over more information on 21 Americans listed as missing in action in the Vietnam War and has promised to investigate reports that some American soldiers are alive there , an American official said today ."
1986,"Vietnam said today that the remains of 10 Americans could probably be found , and urged the United States to be ''really cooperative '' so that the fate of nearly 1,800 Americans listed as missing in Vietnam could be resolved ."
1986,The Vietnam News Agency said Hanoi had provided preliminary information on 21 missing Americans in a meeting between American and Vietnamese representatives there last week .
1986,"The United States today gave Vietnam its first written commitment to support Hanoi 's plan to resolve , within two years , the issue of Americans missing in action since the Indochina war ."
1986,"Richard Childress , a member of the National Security Council , said at a news conference here that Vietnam in turn had given assurances that it would provide Washington with written reports on its progress in the search and would investigate reported live sightings of missing Americans ."
1986,"A group of Vietnam veterans who marched from Washington arrived yesterday at Grant 's Tomb for a vigil for 2,400 Americans still missing in Southeast Asia ."
1986,", Thailand , Aug. 16 American experts trying to account for Americans reported missing in the Vietnam War investigated sites in Hanoi last week containing wreckage of B-52 bombers , the leader of the United States team said on his return here today ."
1986,Hanoi turned over to an American military delegation today what it said were the remains and personal effects of a United States serviceman missing in action since the Vietnam War .
1986,Veterans of three wars and their supporters today ended a 37-day vigil in a bamboo cage to call attention to American soldiers missing in action .
1987,The United States and Laos announced today that Washington would begin considering the ''humanitarian problems '' of this isolated country as Laotians step up the search for Americans missing since the Vietnam War .
1987,"The agreement is similar to one concluded this past summer between the United States and Vietnam , under which American experts on the missing have already visited Hanoi for consultation ."
1987,"The Reagan Administration has proposed to Vietnam that Gen. John W. Vessey Jr. , the former Chairman of the Joint Chiefs of Staff , visit Hanoi as a Presidential representative to discuss the fate of missing servicemen ."
1987,"As the United States and the Association of Southeast Asian Nations prepare for new rounds of talks with Vietnam on missing Americans and the Vietnamese occupation of Cambodia , the Japanese are being criticized in this region for steadily expanding Hanoi trade ."
1987,"A team of United States officials ended a round of talks in Hanoi on the issue of missing American servicemen but failed to reach agreement on a visit to Vietnam by a Presidential envoy , the State Department said Friday ."
1987,"A Vietnamese official said his Government had agreed to a meeting in Hanoi with John W. Vessey Jr. , President Reagan 's special envoy , to end an impasse in talks over the fate of missing American sevicemen , The Washington Post reported in its Sunday editions ."
1987,Secretary of State George P. Shultz confirmed today that Vietnam had relented and agreed to American conditions for a meeting with a special envoy to discuss the issue of missing servicemen .
1987,"But Mr. Shultz , speaking at the annual meeting of the National League of Families of American Prisoners and Missing in Southeast Asia , also warned that there might not be much progress on the issue ."
1987,He said it was good that Vietnam no longer insisted that discussions on missing servicemen be linked with the issue of normalizing relations .
1987,"President Reagan announced today that his special envoy , Gen. John A. Vessey , would travel to Hanoi next month in an attempt to revive negotiations over missing American servicemen ."
1987,A special envoy of President Reagan and a new Vietnamese leadership are to open talks here Saturday on resolving the issue of Americans still missing in Vietnam 14 years after the withdrawal of United States forces .
1987,Gen. John W. Vessey Jr. is meeting with Vietnamese officials on missing Americans .
1987,"A long-sought meeting between President Reagan 's special envoy on Americans missing in action in Vietnam and newly installed Vietnamese leaders began here today , but with scant hopes of real progress on either side ."
1987,"United States and Vietnamese negotiators looking for ways to resolve the issue of 1,776 Americans still listed as missing in this country met briefly twice today ."
1987,An American special envoy left Hanoi today with no progress reported in three days of talks on Americans missing since the Vietnam War .
1987,"The United States has refused to open diplomatic relations with Vietnam , but officials of the two countries have been talking for years about 1,700 Americans still listed as missing since the United States troops quit the war in 1973 ."
1987,A Presidential envoy who visited Hanoi last week said today that Vietnam insisted it did not have control over any living Americans missing in action from the war .
1987,"Nevertheless , the envoy said , Hanoi suggested the possibility that there might be some in Southeast Asia , and the United States and Vietnam agreed that Hanoi would step up its effort to find missing Americans or their remains ."
1987,Administration officials say the United States will officially encourage charitable assistance for Vietnam in exchange for increased cooperation from Hanoi in resolving cases of Americans missing in action during the Vietnam War .
1987,A spokesman said today that the State Department was not linking progress on the issue of missing servicemen in Vietnam to private charitable aid to that country .
1987,"Charles E. Redman , the Department spokesman , said a decision to encourage private organizations to provide aid , especially prosthetic devices for amputees , was not connected to American efforts to obtain information about American servicemen missing since the Vietnam war ."
1987, A former United States Congressman arrived in Bangkok today with six relatives of American servicemen unaccounted for in Laos or Vietnam since the 1960 's .
1987,"The group plans to release 2,500 balloons Thursday with messages offering large rewards to those who can produce a missing American ."
1987,"The delegation , headed by former Representative William Hendon , a North Carolina Republican , has raised $ 2.4 million to offer to citizens of Laos , Cambodia and Vietnam to bring out any American serviceman still alive and in captivity ."
1987,"The Pentagon , responding to published remarks by a Cambodian leader , said today that if Cambodia held the remains of missing American servicemen , then it should return them to the United States ."
1987,"The United States will seek , through international agencies , to verify assertions by the Cambodian , Prime Minister Hun Sen , that the Cambodian Government has the remains of many Americans missing in action since the Vietnam War , when American planes bombed Cambodia and American forces sometimes crossed its borders , a Pentagon spokesman said ."
1988,"A high-ranking Cambodian official told three Congressmen touring Southeast Asia that his country has the remains of 80 American servicemen killed during the Vietnam War and is prepared to release them to the United States , the lawmakers said today ."
1988,"Vietnam intends to turn over to the United States the remains of five Americans missing in the Vietnam War and has information about 18 other missing Americans , the State Department said today ."
1988,"The two predominant American responses to the emotionally charged issue of the 2,393 American servicemen still unaccounted for in the Vietnam War were on display this week , creating a drama of the living and the dead ."
1988,"Two Americans , convinced that fellow countrymen were being held prisoner against their will in Indochina , are under arrest by the Laotian police for illegally crossing the border from Thailand , in order to advertise a reward to anyone who can turn up a live American prisoner of war ."
1988,"At the same time , six American military experts were concluding joint investigations , alongside Vietnamese officials in isolated areas of Vietnam , to try to resolve the most promising cases of missing airmen who American officials privately acknowledge are dead ."
1988,"Joint United States-Vietnamese search teams found the remains of a number of American servicemen missing from the Indochina war during a 10-day search ending today , an official United States statement said ."
1988,"In a ceremony at the Hanoi airport , Vietnam today turned over to an American military delegation 23 sets of remains that could be those of United States servicemen unaccounted for from the Vietnam War ."
1988," In a gesture to help resolve the question of American servicemen missing in the Vietnam War , Hanoi has offered to allow the United States to establish and staff offices all over Vietnam to collate information about them ."
1988,"To the Editor : Your report Nov. 17 of a press briefing in Bangkok , Thailand , by Nguyen Xuan Oanh , an economic adviser to the Vietnamese Government and a member of the National Assembly , needs clarification about the purpose of his October trip to the United States and the status of his suggestion on the missing in action problem ."
1988,The Pentagon announced today that Vietnam intends to turn over to the United States what could be the largest single group of remains of American servicemen missing from the Vietnam War .
1988,The remains of 38 American servicemen killed in the Vietnam war arrived on United States soil Friday and were accorded military honors before being sent to a laboratory for possible identification .
1988,Vietnam today invited the Reagan Administration to open negotiations on the resettlement in the United States of several thousand recently released political prisoners .
1988,The State Department said today that Vietnam had agreed to resume cooperation on finding the remains of Americans listed as missing in action during the Vietnam War .
1988,"Phyllis E. Oakley , deputy to the State Department spokesman , said Hanoi has notified the United States of its willingness to resolve the problem of accounting for the American service personnel listed as missing in Indochina ."
1988,The issue of the missing has remained a major roadblock to improved relations between Washington and Hanoi .
1990,"The Vietnamese Foreign Minister agreed today to expand efforts to identify and return to the United States the remains of American servicemen still unaccounted for after the Vietnam War , moving the United States and Vietnam a step closer to normal diplomatic relations ."
1990,"Foreign Minister Nguyen Co Thach met here with several senior Administration officials , including retired Gen. John Vessey Jr. , President Bush 's emissary to Hanoi on matters regarding prisoners of war and servicemen who are missing in action ."
1990,"The remains of two American servicemen who had been listed as missing in action in Vietnam have been identified , the Pentagon said Wednesday ."
1990,"American-Vietnamese teams have finished their longest joint search ever for the remains of missing American servicemen , the official Vietnam News Agency said today ."
